Language,VariableDeclaration,ForEach,CollectionDefinition,AssociativeArrayDefinition,Equal,NotEqual,GreaterThan,LogicalAnd,LogicalOr,LogicalXor,ProcedureDefinition,FunctionDefinition,IfElse,SwitchCase,Loop,ForLoop,TryCatch,Raise,Thread,SendMessage,ReceiveMessage,MutexDefinition,MutexLock,MutexUnlock,SemaphoreDefinition,SemaphoreWait,SemaphoreSignal,SingleLineComment,MultiLineComment,Print,Import,Constant,Addition,Subtraction,Multiplication,Division,Remainder,Floor,Rounding,Increment,Decrement,LeftShift,RightShift,BitAnd,BitOr,BitXor,BitNot,Float4VectorMultiplication,Float4VectorDotProduct,Float4VectorCrossProduct,SetFiltering,SetJoin
"C","int x = 42;","for (int i = 0; i < n; i++) {
    int item = collection[i];
    // body
}","int arr[] = {1, 2, 3};","N/A","a == b","a != b","a > b","a && b","a || b","!(a) != !(b)","void log_message(const char *msg) {
    printf(""%s\n"", msg);
}","int add(int a, int b) {
    return a + b;
}","if (x > 0) {
    return 1;
} else {
    return 0;
}","switch (x) {
    case 1:
        return 1;
    case 2:
        return 2;
    default:
        return 0;
}","while (x > 0) {
    x = x - 1;
}","for (int i = 0; i < 10; i++) {
    // body
}","N/A","exit(1);","N/A","N/A","N/A","pthread_mutex_t mtx = PTHREAD_MUTEX_INITIALIZER;","pthread_mutex_lock(&mtx);","pthread_mutex_unlock(&mtx);","sem_t sem;
sem_init(&sem, 0, 1);","sem_wait(&sem);","sem_post(&sem);","// comment","/* line 1
   line 2 */","printf(""Hello, World!\n"");","#include <stdio.h>","const int MAX = 100;","a + b","a - b","a * b","a / b","a % b","floor(a)","round(a)","a++","a--","a << b","a >> b","a & b","a | b","a ^ b","~a","for (int i = 0; i < 4; i++) c[i] = a[i] * b[i];","float dot = 0; for (int i = 0; i < 4; i++) dot += a[i] * b[i];","c[0] = a[1]*b[2] - a[2]*b[1];
c[1] = a[2]*b[0] - a[0]*b[2];
c[2] = a[0]*b[1] - a[1]*b[0];
c[3] = 0.0f;","for (int i = 0; i < n; i++) {
    if (condition(a[i])) {
        result[j++] = a[i];
    }
}","for (int i = 0; i < n; i++) {
    for (int j = 0; j < m; j++) {
        if (a[i].id == b[j].id) {
            // Join logic
        }
    }
}"
"Cpp","int x = 42;","for (const auto& item : collection) {
    // body
}","std::vector<int> v = {1, 2, 3};","std::map<std::string, int> m = {{""a"", 1}, {""b"", 2}};","a == b","a != b","a > b","a && b","a || b","a != b","void logMessage(std::string msg) {
    std::cout << msg << std::endl;
}","int add(int a, int b) {
    return a + b;
}","if (x > 0) {
    return 1;
} else {
    return 0;
}","switch (x) {
    case 1:
        return 1;
    case 2:
        return 2;
    default:
        return 0;
}","while (x > 0) {
    x = x - 1;
}","for (int i = 0; i < 10; i++) {
    // body
}","try {
    do_something();
} catch (const std::exception& e) {
    handle(e);
}","throw std::runtime_error(""Error"");","std::thread t(do_work);
t.join();","queue.push(42);","int msg = queue.front();
queue.pop();
handle(msg);","std::mutex mtx;","mtx.lock();","mtx.unlock();","std::counting_semaphore<10> sem(1);","sem.acquire();","sem.release();","// comment","/* line 1
   line 2 */","std::cout << ""Hello, World!"" << std::endl;","#include <iostream>","const int MAX = 100;","a + b","a - b","a * b","a / b","a % b","std::floor(a)","std::round(a)","a++","a--","a << b","a >> b","a & b","a | b","a ^ b","~a","for (int i = 0; i < 4; i++) c[i] = a[i] * b[i];","float dot = 0; for (int i = 0; i < 4; i++) dot += a[i] * b[i];","c[0] = a[1]*b[2] - a[2]*b[1];
c[1] = a[2]*b[0] - a[0]*b[2];
c[2] = a[0]*b[1] - a[1]*b[0];
c[3] = 0.0f;","std::copy_if(v.begin(), v.end(), std::back_inserter(res), condition);","std::set_intersection(v1.begin(), v1.end(), v2.begin(), v2.end(), std::back_inserter(res));"
"Java","int x = 42;","for (int item : collection) {
    // body
}","List<Integer> list = List.of(1, 2, 3);","Map<String, Integer> map = Map.of(""a"", 1, ""b"", 2);","a == b","a != b","a > b","a && b","a || b","a ^ b","public void logMessage(String msg) {
    System.out.println(msg);
}","public int add(int a, int b) {
    return a + b;
}","if (x > 0) {
    return 1;
} else {
    return 0;
}","switch (x) {
    case 1:
        return 1;
    case 2:
        return 2;
    default:
        return 0;
}","while (x > 0) {
    x = x - 1;
}","for (int i = 0; i < 10; i++) {
    // body
}","try {
    do_something();
} catch (Exception e) {
    handle(e);
}","throw new RuntimeException(""Error"");","new Thread(() -> { do_work(); }).start();","queue.put(42);","int msg = queue.take(); handle(msg);","Lock lock = new ReentrantLock();","lock.lock();","lock.unlock();","Semaphore sem = new Semaphore(1);","sem.acquire();","sem.release();","// comment","/* line 1
   line 2 */","System.out.println(""Hello, World!"");","import java.util.List;","public static final int MAX = 100;","a + b","a - b","a * b","a / b","a % b","Math.floor(a)","Math.round(a)","a++","a--","a << b","a >> b","a & b","a | b","a ^ b","~a","for (int i = 0; i < 4; i++) c[i] = a[i] * b[i];","float dot = 0; for (int i = 0; i < 4; i++) dot += a[i] * b[i];","c[0] = a[1]*b[2] - a[2]*b[1];
c[1] = a[2]*b[0] - a[0]*b[2];
c[2] = a[0]*b[1] - a[1]*b[0];
c[3] = 0.0f;","list.stream().filter(x -> x > 0).collect(Collectors.toList());","listA.stream().flatMap(a -> listB.stream().filter(b -> a.id == b.id).map(b -> new Result(a, b))).collect(Collectors.toList());"
"Rust","let x: i32 = 42;","for item in &collection {
    // body
}","let v = vec![1, 2, 3];","let m = HashMap::from([(""a"", 1), (""b"", 2)]);","a == b","a != b","a > b","a && b","a || b","a ^ b","fn log_message(msg: &str) {
    println!(""{}"", msg);
}","fn add(a: i32, b: i32) -> i32 {
    a + b
}","if x > 0 {
    1
} else {
    0
}","match x {
    1 => 1,
    2 => 2,
    _ => 0,
}","while x > 0 {
    x -= 1;
}","for i in 0..10 {
    // body
}","match do_something() {
    Ok(v) => v,
    Err(e) => handle(e)
}","panic!(""Error"");","thread::spawn(|| { do_work(); });","tx.send(42).unwrap();","let msg = rx.recv().unwrap(); handle(msg);","let lock = Mutex::new(0);","let mut data = lock.lock().unwrap();","drop(data);","let sem = Semaphore::new(1);","let _permit = sem.acquire().await.unwrap();","drop(_permit);","// comment","/* line 1
   line 2 */","println!(""Hello, World!"");","use std::collections::HashMap;","const MAX: i32 = 100;","a + b","a - b","a * b","a / b","a % b","a.floor()","a.round()","a += 1","a -= 1","a << b","a >> b","a & b","a | b","a ^ b","!a","for i in 0..4 { c[i] = a[i] * b[i]; }","let dot: f32 = a.iter().zip(b.iter()).map(|(x, y)| x * y).sum();","c[0] = a[1]*b[2] - a[2]*b[1];
c[1] = a[2]*b[0] - a[0]*b[2];
c[2] = a[0]*b[1] - a[1]*b[0];
c[3] = 0.0;","let filtered: Vec<_> = v.into_iter().filter(|&x| x > 0).collect();","list_a.iter().flat_map(|a| list_b.iter().filter(move |b| a.id == b.id).map(move |b| (a, b)));"
"Erlang","X = 42.","lists:foreach(fun(Item) -> ok end, Collection).","L = [1, 2, 3].","M = #{a => 1, b => 2}.","A == B","A /= B","A > B","N/A","N/A","N/A","log_message(Msg) ->
    io:format(""~p~n"", [Msg]).","add(A, B) -> A + B.","if X > 0 -> 1; true -> 0 end","case X of
    1 -> one;
    2 -> two;
    _ -> none
end","loop(0) -> ok; loop(X) when X > 0 -> loop(X - 1).","lists:foreach(fun(I) -> ok end, lists:seq(1, 10)).","try
    do_something()
catch
    error:Reason -> handle(Reason)
end","error(""Error"")","Pid = spawn(fun() -> do_work() end).","Pid ! hello.","receive hello -> handle_hello() end.","N/A","N/A","N/A","N/A","N/A","N/A","% comment","N/A","io:format(""Hello, World!~n"").","-include(""header.hrl"").","-define(MAX, 100).","A + B","A - B","A * B","A / B","A rem B","floor(A)","round(A)","A + 1","A - 1","A bsl B","A bsr B","A band B","A bor B","A bxor B","bnot A","[Ai * Bi || {Ai, Bi} <- lists:zip(A, B)].","Dot = lists:foldl(fun({Ai, Bi}, Acc) -> Ai * Bi + Acc end, 0.0, lists:zip(A, B)).","C = [lists:nth(2,A)*lists:nth(3,B) - lists:nth(3,A)*lists:nth(2,B),
     lists:nth(3,A)*lists:nth(1,B) - lists:nth(1,A)*lists:nth(3,B),
     lists:nth(1,A)*lists:nth(2,B) - lists:nth(2,A)*lists:nth(1,B), 0.0].","[X || X <- List, X > 0].","[{A, B} || A <- ListA, B <- ListB, element(1, A) == element(1, B)]."
"Lisp","(defparameter x 42)","(dolist (item collection)
  #| body |#)","(setf l '(1 2 3))","(setf m (pairlis '(a b) '(1 2)))","(= a b)","(/= a b)","(> a b)","N/A","N/A","N/A","(defun log-message (msg)
  (format t ""~A~%"" msg))","(defun add (a b) (+ a b))","(if (> x 0) 1 0)","(case x
  (1 ""one"")
  (2 ""two"")
  (t ""none""))","(loop while (> x 0) do (setq x (1- x)))","(loop for i from 0 to 9 do
    #| body |#)","(handler-case (do_something) (error (c) (handle c)))","(error ""Error"")","N/A","N/A","N/A","(setf mtx (bt:make-lock))","(bt:acquire-lock mtx)","(bt:release-lock mtx)","(setf sem (bt:make-semaphore :count 1))","(bt:wait-on-semaphore sem)","(bt:signal-semaphore sem)","; comment","#| line 1
   line 2 |#","(format t ""Hello, World!~%"")","(use-package :iter)","(defconstant +max+ 100)","(+ a b)","(- a b)","(* a b)","(/ a b)","(mod a b)","(floor a)","(round a)","(1+ a)","(1- a)","(ash a b)","(ash a -b)","(logand a b)","(logior a b)","(logxor a b)","(lognot a)","(mapcar #'* a b)","(reduce #'+ (mapcar #'* a b))","(list (- (* (nth 1 a) (nth 2 b)) (* (nth 2 a) (nth 1 b)))
      (- (* (nth 2 a) (nth 0 b)) (* (nth 0 a) (nth 2 b)))
      (- (* (nth 0 a) (nth 1 b)) (* (nth 1 a) (nth 0 b)))
      0.0)","(remove-if-not #'evenp list)","(loop for a in list-a append
  (loop for b in list-b
    when (= (getf a :id) (getf b :id))
    collect (list a b)))"
"Bash","x=42","for item in ""${collection[@]}""; do
    # body
done","a=(1 2 3)","declare -A m=([a]=1 [b]=2)","[ ""$a"" -eq ""$b"" ]","[ ""$a"" -ne ""$b"" ]","[ ""$a"" -gt ""$b"" ]","N/A","N/A","N/A","log_message() {
    echo ""$1""
}","add() {
    echo $(($1 + $2))
}","if [ $x -gt 0 ]; then
    exit 1
else
    exit 0
fi","case $x in
    1)
        echo ""one""
        ;;
    2)
        echo ""two""
        ;;
    *)
        echo ""none""
        ;;
esac","while [ $x -gt 0 ]; do
    x=$((x-1))
done","for i in {0..9}; do
    # body
done","do_something || handle_error","exit 1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","# comment","N/A","echo ""Hello, World!""","source utils.sh","readonly MAX=100","((a + b))","((a - b))","((a * b))","((a / b))","((a % b))","echo ""a / 1"" | bc","printf ""%.0f"" ""$a""","((a++))","((a--))","((a << b))","((a >> b))","((a & b))","((a | b))","((a ^ b))","((~a))","for i in {0..3}; do c[$i]=$(echo ""${a[$i]} * ${b[$i]}"" | bc); done","dot=0; for i in {0..3}; do dot=$(echo ""$dot + (${a[$i]} * ${b[$i]})"" | bc); done","c[0]=$(echo ""${a[1]}*${b[2]} - ${a[2]}*${b[1]}"" | bc)
c[1]=$(echo ""${a[2]}*${b[0]} - ${a[0]}*${b[2]}"" | bc)
c[2]=$(echo ""${a[0]}*${b[1]} - ${a[1]}*${b[0]}"" | bc)
c[3]=0","for x in ""${a[@]}""; do
    if [[ $x -gt 0 ]]; then
        b+=(""$x"")
    fi
done","join file1 file2"
"Cmd","set x=42","for %%i in (%collection%) do (
    rem body
)","set a=1 2 3","set m_a=1
set m_b=2","if %a% EQU %b%","if %a% NEQ %b%","if %a% GTR %b%","N/A","N/A","N/A",":log_message
echo %~1
goto :eof",":add
set /a res=%~1+%~2
exit /b %res%","if %x% GTR 0 (exit /b 1) else (exit /b 0)","if ""%x%""==""1"" (goto :one) else if ""%x%""==""2"" (goto :two) else (goto :none)",":loop
if %x% GTR 0 (set /a x=x-1 & goto loop)","for /L %%i in (0,1,9) do (
    rem body
)","do_something || call :handle_error","exit /b 1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","REM comment","N/A","echo Hello, World!","call other.cmd","set MAX=100","set /a res=a+b","set /a res=a-b","set /a res=a*b","set /a res=a/b","set /a res=a%%b","N/A","N/A","set /a a+=1","set /a a-=1","set /a res=a<<b","set /a res=a>>b","set /a res=""a & b""","set /a res=""a | b""","set /a res=""a ^ b""","set /a res=""~a""","N/A","N/A","N/A","for %%x in (%a%) do (
    if %%x GTR 0 (set b=!b! %%x)
)","N/A"
"PowerShell","$x = 42","foreach ($item in $collection) {
    # body
}","$a = 1, 2, 3","$h = @{ a = 1; b = 2 }","$a -eq $b","$a -ne $b","$a -gt $b","N/A","N/A","N/A","function log-message($msg) {
    Write-Host $msg
}","function add($a, $b) {
    return $a + $b
}","if ($x -gt 0) {
    return 1
} else {
    return 0
}","switch ($x) {
    1 { ""one"" }
    2 { ""two"" }
    default { ""none"" }
}","while ($x -gt 0) {
    $x = $x - 1
}","for ($i = 0; $i -lt 10; $i++) {
    # body
}","try {
    do_something
} catch {
    handle_error($_)
}","throw ""Error""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","# comment","<# line 1
   line 2 #>","Write-Host ""Hello, World!""","Import-Module ActiveDirectory","Set-Variable -Name MAX -Value 100 -Option ReadOnly","a + b","a - b","a * b","a / b","a % b","[Math]::Floor(a)","[Math]::Round(a)","a++","a--","a -shl b","a -shr b","a -band b","a -bor b","a -bxor b","-bnot a","$c = 0..3 | ForEach-Object { $a[$_] * $b[$_] }","$dot = 0; 0..3 | ForEach-Object { $dot += $a[$_] * $b[$_] }","$c = @($a[1]*$b[2] - $a[2]*$b[1], $a[2]*$b[0] - $a[0]*$b[2], $a[0]*$b[1] - $a[1]*$b[0], 0.0)","$b = $a | Where-Object { $_ -gt 0 }","foreach ($a in $listA) {
    foreach ($b in $listB) {
        if ($a.id -eq $b.id) { [PSCustomObject]@{A=$a; B=$b} }
    }
}"
"Python","x = 42","for item in collection:
    # body","l = [1, 2, 3]","d = {""a"": 1, ""b"": 2}","a == b","a != b","a > b","a and b","a or b","a != b","def log_message(msg):
    print(msg)","def add(a, b):
    return a + b","1 if x > 0 else 0","match x:
    case 1:
        return 1
    case 2:
        return 2
    case _:
        return 0","while x > 0: x = x - 1","for i in range(10):
    # body","try:
    do_something()
except Exception as e:
    handle(e)","raise Exception(""Error"")","N/A","N/A","N/A","lock = threading.Lock()","lock.acquire()","lock.release()","sem = threading.Semaphore(1)","sem.acquire()","sem.release()","# comment",""""""" line 1
    line 2 """"""","print(""Hello, World!"")","import math","MAX = 100","a + b","a - b","a * b","a / b","a % b","math.floor(a)","round(a)","a += 1","a -= 1","a << b","a >> b","a & b","a | b","a ^ b","~a","c = [ai * bi for ai, bi in zip(a, b)]","dot = sum(ai * bi for ai, bi in zip(a, b))","c = [a[1]*b[2] - a[2]*b[1], a[2]*b[0] - a[0]*b[2], a[0]*b[1] - a[1]*b[0], 0.0]","b = [x for x in a if x > 0]","res = [{**a, **b} for a in list_a for b in list_b if a['id'] == b['id']]"
